STATION,LATITUDE,LONGITUDE,ZIP_Code
buckinghamfountain,41.876511,-87.620548,60605
southportave&wavelandave,41.94815,-87.66394,60613
cliftonave&armitageave,41.918216,-87.656936,60614
halstedst&willowst,41.913865,-87.648755,60614
halstedst&dickensave,41.919936,-87.64883,60614
racineave&belmontave,41.939743,-87.658865,60657
clarkst&montroseave,41.961588,-87.666036,60640
damenave&melroseave,41.9406,-87.6785,60613
southportave&roscoest,41.943739,-87.66402,60613
lincolnave&roscoest,41.94334,-87.67097,60613
sheridanrd&montroseave,41.96167,-87.65464,60613
orleansst&elmst,41.902924,-87.637715,60610
pinegroveave&wavelandave,41.949275,-87.646303,60613
sangamonst&washingtonblvd,41.883165,-87.6511,60607
clarendonave&juniorter,41.961004,-87.649603,60613
ashlandave&belleplaineave,41.956057,-87.668835,60613
sedgwickst&schillerst,41.907626,-87.638566,60610
mlkjrdr&29thst,41.842052,-87.617,60616
wolcott(ravenswood)ave&montroseave,41.961406,-87.676169,60640
westernave&lelandave,41.966555,-87.688487,60625
sheridanrd&irvingparkrd,41.954245,-87.654406,60613
morganst&polkst,41.871737,-87.65103,60607
fairbanksct&grandave,41.8925,-87.6207,60611
damenave&lelandave,41.967094,-87.679028,60640
lincolnave&sunnysideave,41.963004,-87.684781,60625
ravenswoodave&irvingparkrd,41.95469,-87.67393,60613
woodlawnave&55thst,41.795264,-87.596471,60637
montroseharbor,41.963982,-87.638181,60613
ashlandave&wellingtonave,41.936083,-87.669807,60618
shoredr&55thst,41.795212,-87.580715,60615
clarendonave&lelandave,41.967968,-87.650001,60640
broadway&sheridanrd,41.952833,-87.649993,60613
lincolnave&wavelandave,41.948797,-87.675278,60618
loganblvd&elstonave,41.929465,-87.684158,60647
californiaave&francispl(temp),41.918491,-87.697423,60647
michiganave&pearsonst,41.89766,-87.62351,60611
greenwoodave&47thst,41.809835,-87.599383,60615
winthropave&lawrenceave,41.968812,-87.657659,60640
pinegroveave&irvingparkrd,41.954383,-87.648043,60613
indianaave&rooseveltrd,41.867888,-87.623041,60605
hermitageave&polkst,41.871514,-87.669886,60612
mcclurgct&illinoisst,41.890359,-87.617532,60611
halstedst&37thst,41.827059,-87.64572,60609
rhodesave&32ndst,41.836208,-87.613533,60653
stetsonave&southwaterst,41.886835,-87.62232,60602
cottagegroveave&oakwoodblvd,41.822985,-87.6071,60653
lakeparkave&47thst,41.809443,-87.591875,60653
lakeshoredr&northblvd,41.911722,-87.626804,60610
stonyislandave&75thst,41.75867,-87.586883,60649
cottagegroveave&43rdst,41.816499,-87.606582,60653
larrabeest&northave,41.91021,-87.6435,60610
indianaave&31stst,41.838842,-87.621857,60616
michiganave&18thst,41.857813,-87.62455,60616
kedzieave&milwaukeeave,41.929567,-87.707857,60647
ashlandave&13thst,41.865234,-87.666507,60608
californiaave&northave,41.91044,-87.6972,60647
ashlandave&grandave,41.891072,-87.666611,60642
wallacest&35thst,41.830629,-87.64129,60616
halstedst&35thst,41.830661,-87.647172,60632
racineave&15thst,41.861267,-87.656625,60608
westernave&24thst,41.84847,-87.685109,60608
larrabeest&menomoneest,41.91468,-87.64332,60614
morganst&31stst,41.8378,-87.65114,60609
halstedst&maxwellst,41.864883,-87.647071,60608
lasallest&jacksonblvd,41.878166,-87.631929,60604
kedzieave&palmerct,41.921525,-87.707322,60647
wellsst&evergreenave,41.906724,-87.63483,60610
noblest&milwaukeeave,41.90068,-87.6626,60642
southportave&clarkst,41.957081,-87.664199,60613
broadway&wilsonave,41.965221,-87.658139,60640
broadway&berwynave,41.978353,-87.659753,60640
broadway&argylest,41.973815,-87.65966,60626
broadway&belmontave,41.940106,-87.645451,60657
paulinast&montroseave,41.961507,-87.671387,60613
lincolnave&belleplaineave,41.95602,-87.680293,60618
halstedst&roscoest,41.94367,-87.64895,60657
michiganave&jacksonblvd,41.87785,-87.62408,60604
woodst&hubbardst,41.889899,-87.671473,60622
franklinst&adamsst(temp),41.879434,-87.635504,60606
franklinst&monroest,41.880317,-87.635185,60606
larrabeest&armitageave,41.918084,-87.643749,60610
wellsst&concordln,41.912133,-87.634656,60614
broadway&wavelandave,41.949074,-87.648636,60613
broadway&barryave,41.937725,-87.644095,60657
clarkst&schillerst,41.907993,-87.631501,60610
ashlandave&augustablvd,41.899643,-87.6677,60622
sheffieldave&wrightwoodave,41.928712,-87.653833,60614
broadway&corneliaave,41.945529,-87.646439,60657
sheridanrd&buenaave,41.958494,-87.654966,60613
westernave&divisionst,41.902893,-87.687275,60622
southportave&clybournave,41.920771,-87.663712,60614
seeleyave&roscoest,41.943403,-87.679618,60618
leavittst&armitageave,41.917805,-87.682437,60647
damenave&charlestonst,41.920082,-87.677855,60647
leavittst&lawrenceave,41.968885,-87.684001,60625
franklinst&chicagoave,41.896747,-87.635668,60654
clarendonave&gordonter,41.957879,-87.649519,60613
lakeviewave&fullertonpkwy,41.925858,-87.638973,60614
ravenswoodave&berteauave,41.957921,-87.673567,60613
elstonave&wabansiaave,41.912919,-87.664169,60642
damenave&sunnysideave,41.96325,-87.679258,60640
woodst&taylorst,41.869154,-87.671045,60612
southportave&irvingparkrd,41.954177,-87.664358,60613
greenviewave&diverseypkwy,41.93259,-87.665936,60613
sheddaquarium,41.867226,-87.615355,60605
loomisst&lexingtonst,41.872187,-87.661501,60607
wabashave&9thst,41.870769,-87.625734,60605
racineave&congresspkwy,41.87464,-87.65703,60607
sheridanrd&lawrenceave,41.969517,-87.654691,60640
stocktondr&wrightwoodave,41.93132,-87.638742,60614
clarkst&winnemacave,41.97334,-87.66778,60640
clarkst&lelandave,41.967096,-87.667429,60640
sheffieldave&websterave,41.92154,-87.653818,60614
ellisave&58thst,41.788746,-87.601334,60637
lakeshoredr&diverseypkwy,41.932588,-87.636427,60614
lincolnave&addisonst,41.946176,-87.673308,60613
halstedst&clybournave,41.909668,-87.648128,60642
statest&vanburenst,41.877181,-87.627844,60604
burlingst(halsted)&diverseypkwy(temp),41.93314,-87.64776,60657
ashlandave&blackhawkst,41.907066,-87.667252,60622
lakeshoredr&belmontave,41.940775,-87.639192,60657
calumetave&35thst,41.831379,-87.618034,60616
cottagegroveave&47thst,41.809855,-87.606755,60637
clarkst&chicagoave,41.89675,-87.63089,60610
calumetave&18thst,41.857611,-87.619407,60616
kimbarkave&53rdst,41.799568,-87.594747,60615
emeraldave&31stst,41.838198,-87.645143,60616
clarkst&wrightwoodave,41.929546,-87.643118,60614
adlerplanetarium,41.866095,-87.607267,60605
cannondr&fullertonave,41.926756,-87.634429,60614
wolcottave&polkst,41.871262,-87.673688,60612
racineave&wrightwoodave,41.928887,-87.658971,60614
ravenswoodave&lawrenceave,41.96909,-87.674237,60640
lakeparkave&56thst,41.793242,-87.587782,60637
adast&washingtonblvd,41.88283,-87.661206,60607
halstedst&wrightwoodave,41.929143,-87.649077,60614
ashlandave&chicagoave,41.895966,-87.667747,60622
cottagegroveave&51stst,41.803038,-87.606615,60615
ashlandave&gracest,41.950687,-87.6687,60618
californiaave&21stst,41.853804,-87.695742,60623
larrabeest&divisionst,41.903486,-87.643353,60610
franklinst&jacksonblvd,41.877708,-87.635321,60606
larrabeest&oakst,41.900219,-87.642985,60610
halstedst&northbranchst,41.899368,-87.64848,60622
loomisst&archerave,41.841633,-87.657435,60608
racineave&35thst,41.830696,-87.655976,60609
streeterdr&grandave,41.892278,-87.612043,60611
jefferyblvd&67thst,41.773518,-87.577143,60649
clarkst&touhyave,42.01256,-87.674367,60626
sheridanrd&greenleafave,42.010587,-87.662412,60626
southshoredr&67thst,41.773643,-87.567514,60619
stonyislandave&71stst,41.766493,-87.586461,60649
ashlandave&archerave,41.839209,-87.66561,60620
woodst&35thst,41.830105,-87.670298,60609
calumetave&21stst,41.854184,-87.619154,60616
westernave&congresspkwy,41.874749,-87.686445,60612
paulinast&flournoyst,41.87295,-87.66913,60612
halstedst&51stst,41.801832,-87.645214,60609
princetonave&garfieldblvd,41.794982,-87.633124,60621
halstedst&56thst,41.79293,-87.64499,60621
halstedst&63rdst,41.779381,-87.644621,60621
wentworthave&63rdst,41.78008,-87.629746,60636
halstedst&69thst,41.769062,-87.644614,60621
wabashave&adamsst,41.879472,-87.625689,60603
dearbornst&adamsst,41.879356,-87.629791,60604
kedzieave&chicagoave,41.895465,-87.706128,60624
westernave&waltonst,41.898418,-87.686596,60622
sacramentoblvd&franklinblvd,41.890469,-87.702608,60622
artesianave&hubbardst,41.889492,-87.688219,60612
kedzieave&lakest,41.884603,-87.706304,60624
californiaave&lakest,41.884454,-87.696298,60625
westernave&monroest,41.879788,-87.686113,60612
clarkst&lakest,41.886021,-87.630876,60696
perryave&69thst,41.769293,-87.628196,60621
calumetave&71stst,41.765508,-87.616918,60619
clarkst&9thst(amli),41.870816,-87.631246,60605
jefferyblvd&76thst,41.75712,-87.575839,60649
yatesblvd&75thst,41.758768,-87.56644,60617
rainbowbeach,41.757871,-87.549386,60649
southshoredr&74thst,41.762189,-87.559275,60649
cottagegroveave&71stst,41.765719,-87.60496,60619
shieldsave&28thpl,41.842733,-87.635491,60616
lasallest&adamsst,41.879344,-87.631985,60604
shieldsave&31stst,41.838464,-87.635406,60616
wentworthave&35thst,41.830777,-87.632504,60616
lakeparkave&35thst,41.831274,-87.608799,60653
wentworthave&33rdst,41.83453,-87.631823,60616
canalst&taylorst,41.870257,-87.639474,60605
calumetave&51stst,41.802295,-87.618054,60615
dorchesterave&49thst,41.805772,-87.592464,60615
cornellave&hydeparkblvd,41.802406,-87.586924,60615
ellisave&53rdst,41.799336,-87.600958,60615
lakeparkave&53rdst,41.799494,-87.58645,60615
burnhamharbor,41.856268,-87.613348,60605
ellisave&55thst,41.794301,-87.60145,60637
mlkjrdr&56thst,41.793429,-87.615853,60637
wabashave&cermakrd,41.852619,-87.626488,60616
dusablemuseum,41.791568,-87.607852,60637
statest&pershingrd,41.823015,-87.626568,60653
unionave&rootst,41.819102,-87.643278,60609
shieldsave&43rdst,41.816208,-87.634819,60609
prairieave&43rdst,41.816659,-87.619412,60653
halstedst&47thpl,41.808134,-87.645617,60609
federalst&polkst,41.872078,-87.629544,60605
princetonave&47thst,41.809318,-87.633449,60621
woodlawnave&lakeparkave,41.814093,-87.597005,60637
universityave&57thst,41.791478,-87.599861,60637
museumofscienceandindustry,41.791728,-87.583945,60637
harperave&59thst,41.787943,-87.588315,60637
ellisave&60thst,41.785097,-87.601073,60637
cottagegroveave&63rdst,41.780599,-87.606112,60637
dorchesterave&63rdst,41.780406,-87.591416,60637
cottagegroveave&67thst,41.773721,-87.605635,60619
mlkjrdr&63rdst,41.780081,-87.615943,60637
fairfieldave&rooseveltrd,41.866624,-87.694521,60612
washtenawave&ogdenave,41.861894,-87.693511,60608
centralparkave&ogdenave,41.854204,-87.715406,60623
kedzieave&21stst,41.853534,-87.705073,60623
centralparkave&24thst,41.8481,-87.715068,60623
kedzieave&24thst,41.848191,-87.705414,60623
statest&randolphst,41.88473,-87.627734,60601
